"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 15 00:22:11 GMT+03:00 2025","Mon Dec 15 00:22:16 GMT+03:00 2025","4433","","ru.yandex.praktikum.tests.ConstructorTest","","ru.yandex.praktikum.tests.ConstructorTest","goToSaucesSectionTest","Переход к разделу 'Соусы' в конструкторе",""
"passed","Mon Dec 15 00:22:19 GMT+03:00 2025","Mon Dec 15 00:22:22 GMT+03:00 2025","3283","","ru.yandex.praktikum.tests.LoginTest","","ru.yandex.praktikum.tests.LoginTest","loginFromRegistrationFormTest","Вход через кнопку в форме регистрации",""
"passed","Mon Dec 15 00:22:29 GMT+03:00 2025","Mon Dec 15 00:22:36 GMT+03:00 2025","7630","","ru.yandex.praktikum.tests.LogoutTest","","ru.yandex.praktikum.tests.LogoutTest","logoutFromPersonalAccountTest","Выход из аккаунта через личный кабинет",""
"passed","Mon Dec 15 00:22:36 GMT+03:00 2025","Mon Dec 15 00:22:41 GMT+03:00 2025","4671","","ru.yandex.praktikum.tests.PersonalAccountTest","","ru.yandex.praktikum.tests.PersonalAccountTest","goToPersonalAccountAfterLoginTest","Переход в личный кабинет после авторизации",""
"passed","Mon Dec 15 00:22:03 GMT+03:00 2025","Mon Dec 15 00:22:08 GMT+03:00 2025","5389","","ru.yandex.praktikum.tests.ConstructorTest","","ru.yandex.praktikum.tests.ConstructorTest","goToBunsSectionTest","Переход к разделу 'Булки' в конструкторе",""
"passed","Mon Dec 15 00:22:22 GMT+03:00 2025","Mon Dec 15 00:22:26 GMT+03:00 2025","3271","","ru.yandex.praktikum.tests.LoginTest","","ru.yandex.praktikum.tests.LoginTest","loginFromPersonalAccountButtonTest","Вход через кнопку 'Личный кабинет'",""
"passed","Mon Dec 15 00:22:47 GMT+03:00 2025","Mon Dec 15 00:22:49 GMT+03:00 2025","2592","","ru.yandex.praktikum.tests.RegistrationTest","","ru.yandex.praktikum.tests.RegistrationTest","registrationWithShortPasswordErrorTest","Ошибка при регистрации с некорректным паролем (менее 6 символов)",""
"passed","Mon Dec 15 00:22:08 GMT+03:00 2025","Mon Dec 15 00:22:11 GMT+03:00 2025","3016","","ru.yandex.praktikum.tests.ConstructorTest","","ru.yandex.praktikum.tests.ConstructorTest","goFromPersonalAccountToConstructorViaLogoTest","Переход из личного кабинета в конструктор по клику на логотип",""
"passed","Mon Dec 15 00:21:59 GMT+03:00 2025","Mon Dec 15 00:22:03 GMT+03:00 2025","4187","","ru.yandex.praktikum.tests.ConstructorTest","","ru.yandex.praktikum.tests.ConstructorTest","goToFillingsSectionTest","Переход к разделу 'Начинки' в конструкторе",""
"passed","Mon Dec 15 00:22:41 GMT+03:00 2025","Mon Dec 15 00:22:47 GMT+03:00 2025","5699","","ru.yandex.praktikum.tests.RegistrationTest","","ru.yandex.praktikum.tests.RegistrationTest","successfulRegistrationTest","Успешная регистрация нового пользователя",""
"passed","Mon Dec 15 00:22:16 GMT+03:00 2025","Mon Dec 15 00:22:19 GMT+03:00 2025","3315","","ru.yandex.praktikum.tests.LoginTest","","ru.yandex.praktikum.tests.LoginTest","loginFromPasswordRecoveryFormTest","Вход через кнопку в форме восстановления пароля",""
"passed","Mon Dec 15 00:22:26 GMT+03:00 2025","Mon Dec 15 00:22:29 GMT+03:00 2025","3052","","ru.yandex.praktikum.tests.LoginTest","","ru.yandex.praktikum.tests.LoginTest","loginFromMainPageButtonTest","Вход через кнопку 'Войти в аккаунт' на главной странице",""
"passed","Mon Dec 15 00:21:51 GMT+03:00 2025","Mon Dec 15 00:21:59 GMT+03:00 2025","7179","","ru.yandex.praktikum.tests.ConstructorTest","","ru.yandex.praktikum.tests.ConstructorTest","goFromPersonalAccountToConstructorTest","Переход из личного кабинета в конструктор по клику на 'Конструктор'",""
